Brokerage Company Name,NMLS# ,# of LO's as of 4/1/25,Company URL,Status,,Method,
Midwest Mortgage Associates Corp,1043976,51,https://tlclender.com/,,https://tlclender.com/meet-our-team/,53,https://docs.google.com/spreadsheets/d/1whV6pPykJQv4HqJKCAwDnzYcuoencqhQioMTKh49QWk/edit?gid=0#gid=0
"NQM Funding, LLC",75597,48,https://www.nqmf.com/,,https://www.nqmf.com/our-team/,28,https://docs.google.com/spreadsheets/d/1t8WIagC2URnj4dA6nGXNP3g1c-07iS4BCeUmpGFMX4E/edit?gid=0#gid=0
"Amerifund Home Loans, Inc        ",347051,47,https://amerifund.com/,,https://amerifund.com/find-a-loan-originator/,39,https://docs.google.com/spreadsheets/d/19BXCTVW9geW0d2IGs2okCD5xEcQMIy__fTHR7wp0JO4/edit?gid=0#gid=0
Amres Corporation,1359704,45,https://www.amreswholesale.com/,,https://www.amres.com/find-a-loan-officer,56,https://docs.google.com/spreadsheets/d/1M9HrjwINx_muhY4musVPq559AMt8YQeBv0J_QQQUQAg/edit?gid=0#gid=0
Satori Financial Mortgage Group LLC,4190,41,https://www.satorimortgage.com/,,https://www.satorimortgage.com/app/meet-our-team-2022-lnsj,71,https://docs.google.com/spreadsheets/d/1WTfHBwD9O6enP99-0ljAZUcXzIgpxPH9HmH5HP7eucc/edit?gid=0#gid=0
"My Easy Mortgage, LLC",1268485,34,https://myeasymortgage.com/,,https://myeasymortgage.com/#team,19,https://docs.google.com/spreadsheets/d/1kRPkGpKqbNfGRkhwDjl57f2LpJbLOocrbXNu83zYwqc/edit?gid=0#gid=0
Reliable Mortgages Inc,1528596,33,https://www.easyspeedymortgages.com/,,https://www.easyspeedymortgages.com/loan-officers/,35,https://docs.google.com/spreadsheets/d/1ioUzJOQNlP8Mt3RQNF6i1CQb_8iON8znEwueeMU91Is/edit?gid=0#gid=0
Western Pioneer Financial,223688,33,https://wpfloans.com/,,https://wpfloans.com/our-team/,32,https://docs.google.com/spreadsheets/d/14eVZvVwQAXiFF6hBIDPOcBv1KqVvXJNRqWFancdrvhQ/edit?gid=0#gid=0
CTC Mortgage LLC,1830510,32,https://cleartoclose.mortgage/,,https://cleartoclose.mortgage/#find-an-expert,,https://docs.google.com/spreadsheets/d/1PptEJbFmzRC2yjDxG0WLUegZiXfExn1dV-v_QY-uzdQ/edit?gid=0#gid=0
Excel Financial Group,389894,31,https://www.excelmortgagebrokers.com/,,https://www.excelmortgagebrokers.com/meet-the-team/,32,https://docs.google.com/spreadsheets/d/1rTHXQggMrrGDugeN0EEXH9u_lav2mbO0K05XlUc-vmw/edit?gid=0#gid=0
Matador Lending LLC,1871433,31,https://www.matadorlending.com/,,https://www.matadorlending.com/,32,https://docs.google.com/spreadsheets/d/1v18g31JjyavvZS8HgjmtDY4Fu9z79DVk1NCz3vYnMok/edit?gid=0#gid=0
"Elev8 Mortgage, LLC",1819034,30,https://elev8mortgage.com/,,https://elev8mortgage.com/team/,31,https://docs.google.com/spreadsheets/d/1iSqO0YFrJ-H0-JEB5jOnlx9dwcvMehbJ87j3EDrxqc4/edit?gid=0#gid=0
Jacques Financial Group Inc DBA Golden Bay Mortgage,1403489,30,https://gbmortgagegroup.com/,,https://gbmortgagegroup.com/our-team/,29,https://docs.google.com/spreadsheets/d/17qnZecu5CA9oejuS1fi1uHBQwm8JB0Z372p49n7fuIY/edit?gid=0#gid=0
Canopy Mortgage,,,https://canopymortgage.com/,,https://canopymortgage.com/,447,https://docs.google.com/spreadsheets/d/1Qw70o3ZVbmcHYBgriS3Z2MV2ku1ImAi5gDyao3H9fWs/edit?gid=0#gid=0
Fairway,2289,1988,https://www.fairway.com/,,https://www.fairway.com/,2289,https://docs.google.com/spreadsheets/d/1HglQCYNVKskCA_e4Mu7wIL6kss3eUkG6/edit?usp=sharing&ouid=117079193496259297801&rtpof=true&sd=true
